stack_index,focus_metric,blob_index,aoi_name
0,4.782846281777144,0,aoi0002
1,4.933594678070801,0,aoi0002
2,5.281183178902352,0,aoi0002
3,5.827037301021621,0,aoi0002
4,5.007008790686624,0,aoi0002
0,4.698622000475172,5,aoi0002
1,4.988714659063911,5,aoi0002
2,5.112140650985983,5,aoi0002
3,5.825730577334284,5,aoi0002
4,4.951532430506059,5,aoi0002
0,5.0906391066761705,10,aoi0002
1,5.410311237823711,10,aoi0002
2,5.081610833927298,10,aoi0002
3,5.817771442147778,10,aoi0002
4,4.936920883820385,10,aoi0002
0,4.887265383701592,15,aoi0002
1,5.199334758850084,15,aoi0002
2,4.981468282252316,15,aoi0002
3,5.581135661677358,15,aoi0002
4,4.978854834877644,15,aoi0002
0,4.812544547398432,20,aoi0002
1,4.973033974815871,20,aoi0002
2,4.801021620337372,20,aoi0002
3,5.234853884533143,20,aoi0002
4,4.780232834402471,20,aoi0002
0,4.66120218579235,25,aoi0002
1,4.792824899025897,25,aoi0002
2,4.766809218341649,25,aoi0002
3,5.124970301734379,25,aoi0002
4,4.742219054407222,25,aoi0002
0,4.840698503207412,30,aoi0002
1,5.264789736279401,30,aoi0002
2,5.182822523164647,30,aoi0002
3,5.2727488714659065,30,aoi0002
4,4.823829888334521,30,aoi0002
0,4.841292468519838,1,aoi0002
1,4.987289142314089,1,aoi0002
2,5.64575908766928,1,aoi0002
3,6.1350677120456165,1,aoi0002
4,5.110596341173675,1,aoi0002
0,5.2178664765977665,6,aoi0002
1,5.350083155143739,6,aoi0002
2,5.52328344024709,6,aoi0002
3,6.154193395105726,6,aoi0002
4,5.225112853409361,6,aoi0002
0,4.852577809455928,11,aoi0002
1,4.998693276312664,11,aoi0002
2,5.135661677358042,11,aoi0002
3,5.682703730102162,11,aoi0002
4,4.998336897125208,11,aoi0002
0,4.853646947018294,16,aoi0002
1,5.04288429555714,16,aoi0002
2,5.150154430981231,16,aoi0002
3,5.753266809218342,16,aoi0002
4,4.994297933000713,16,aoi0002
0,4.884176764076978,21,aoi0002
1,5.350083155143739,21,aoi0002
2,5.1023996198622,21,aoi0002
3,5.9333570919458305,21,aoi0002
4,5.1000237586124975,21,aoi0002
0,4.684842005226895,26,aoi0002
1,4.948087431693989,26,aoi0002
2,5.047754811119031,26,aoi0002
3,5.362912805892136,26,aoi0002
4,4.919458303635068,26,aoi0002
0,4.749940603468757,31,aoi0002
1,4.8718222855785225,31,aoi0002
2,4.856735566642908,31,aoi0002
3,5.182703730102162,31,aoi0002
4,4.708244238536469,31,aoi0002
0,4.7641957709669756,2,aoi0002
1,4.902233309574721,2,aoi0002
2,5.492040864813495,2,aoi0002
3,5.4060346875742455,2,aoi0002
4,5.0136612021857925,2,aoi0002
0,6.18056545497743,7,aoi0002
1,8.568662390116417,7,aoi0002
2,9.177476835352815,7,aoi0002
3,10.034925160370635,7,aoi0002
4,7.102280826799715,7,aoi0002
0,4.869446424328819,12,aoi0002
1,5.200760275599905,12,aoi0002
2,5.771323354716085,12,aoi0002
3,5.994773105250654,12,aoi0002
4,5.1513423616060825,12,aoi0002
0,4.77536231884058,17,aoi0002
1,4.861012116892374,17,aoi0002
2,5.050605844618675,17,aoi0002
3,5.296863863150392,17,aoi0002
4,4.85792349726776,17,aoi0002
0,4.824780232834403,22,aoi0002
1,5.024471370871941,22,aoi0002
2,5.25968163459254,22,aoi0002
3,5.737348538845332,22,aoi0002
4,5.002019482062248,22,aoi0002
0,4.766334046091709,27,aoi0002
1,5.01936326918508,27,aoi0002
2,5.410073651698741,27,aoi0002
3,5.835352815395581,27,aoi0002
4,4.944761225944405,27,aoi0002
0,4.738892848657638,32,aoi0002
1,4.860655737704918,32,aoi0002
2,5.0009503444998815,32,aoi0002
3,5.237823711095272,32,aoi0002
4,4.8273936802090756,32,aoi0002
0,4.784271798526966,3,aoi0002
1,4.806842480399145,3,aoi0002
2,5.238061297220242,3,aoi0002
3,4.98087431693989,3,aoi0002
4,4.966856735566643,3,aoi0002
0,4.927655024946543,8,aoi0002
1,4.976003801378,8,aoi0002
2,5.582442385364695,8,aoi0002
3,5.257068187217866,8,aoi0002
4,5.10263720598717,8,aoi0002
0,4.802209550962224,13,aoi0002
1,4.7940128296507485,13,aoi0002
2,5.375623663578047,13,aoi0002
3,5.186148728914231,13,aoi0002
4,4.988952245188881,13,aoi0002
0,4.741743882157282,18,aoi0002
1,4.831076265146115,18,aoi0002
2,5.381088144452364,18,aoi0002
3,5.260988358279876,18,aoi0002
4,4.967450700879069,18,aoi0002
0,4.7426942266571634,23,aoi0002
1,5.024827750059397,23,aoi0002
2,5.5608220479923975,23,aoi0002
3,5.596341173675458,23,aoi0002
4,5.013542409123307,23,aoi0002
0,4.759087669280114,28,aoi0002
1,5.045616535994298,28,aoi0002
2,5.503088619624614,28,aoi0002
3,5.375267284390592,28,aoi0002
4,4.915894511760513,28,aoi0002
0,4.68056545497743,33,aoi0002
1,4.662627702542172,33,aoi0002
2,4.879425041577572,33,aoi0002
3,4.8359467807080065,33,aoi0002
4,4.652411499168449,33,aoi0002
0,4.671418389166073,4,aoi0002
1,4.706105963411737,4,aoi0002
2,4.890116417201235,4,aoi0002
3,4.728676645283915,4,aoi0002
4,4.94048467569494,4,aoi0002
0,4.738892848657638,9,aoi0002
1,4.765383701591827,9,aoi0002
2,5.187811831789023,9,aoi0002
3,4.794250415775719,9,aoi0002
4,5.0727013542409125,9,aoi0002
0,4.769897837966263,14,aoi0002
1,4.797457828462818,14,aoi0002
2,5.407460204324067,14,aoi0002
3,4.878355904015206,14,aoi0002
4,5.245070087906866,14,aoi0002
0,4.762057495842243,19,aoi0002
1,4.760275599904966,19,aoi0002
2,5.333808505583274,19,aoi0002
3,4.971252078878593,19,aoi0002
4,4.977072938940366,19,aoi0002
0,4.742337847469708,24,aoi0002
1,4.757186980280352,24,aoi0002
2,4.988239486813971,24,aoi0002
3,4.924566405321929,24,aoi0002
4,4.910548823948681,24,aoi0002
0,4.686505108101687,29,aoi0002
1,4.670230458541221,29,aoi0002
2,4.87407935376574,29,aoi0002
3,4.714421477785697,29,aoi0002
4,4.7829650748396295,29,aoi0002
0,4.656925635542884,34,aoi0002
1,4.624732715609409,34,aoi0002
2,4.711332858161083,34,aoi0002
3,4.5718698028035165,34,aoi0002
4,4.627227369921597,34,aoi0002
